**Query #1**

There are no results to be displayed.

---
**Query #2**

| employee_name | salary  | row_num |
| ------------- | ------- | ------- |
| Diana Prince  | 95000.0 | 1       |
| Charlie Brown | 90000.0 | 2       |
| George Miller | 85000.0 | 3       |
| Hannah Lee    | 82000.0 | 4       |
| Alice Johnson | 70000.0 | 5       |
| Bob Smith     | 65000.0 | 6       |
| Ethan Hunt    | 60000.0 | 7       |
| Fiona Green   | 58000.0 | 8       |

---
**Query #3**

| employee_name | salary  | rank_num |
| ------------- | ------- | -------- |
| Diana Prince  | 95000.0 | 1        |
| Charlie Brown | 90000.0 | 2        |
| George Miller | 85000.0 | 3        |
| Hannah Lee    | 82000.0 | 4        |
| Alice Johnson | 70000.0 | 5        |
| Bob Smith     | 65000.0 | 6        |
| Ethan Hunt    | 60000.0 | 7        |
| Fiona Green   | 58000.0 | 8        |

---
**Query #4**

| employee_name | salary  | dense_rank_num |
| ------------- | ------- | -------------- |
| Diana Prince  | 95000.0 | 1              |
| Charlie Brown | 90000.0 | 2              |
| George Miller | 85000.0 | 3              |
| Hannah Lee    | 82000.0 | 4              |
| Alice Johnson | 70000.0 | 5              |
| Bob Smith     | 65000.0 | 6              |
| Ethan Hunt    | 60000.0 | 7              |
| Fiona Green   | 58000.0 | 8              |

---
**Query #5**

    -- 4. Top 3 Highest Paid Employees

| employee_name | salary  |
| ------------- | ------- |
| Diana Prince  | 95000.0 |
| Charlie Brown | 90000.0 |
| George Miller | 85000.0 |

---
**Query #6**

| employee_name | department | salary  | dept_rank |
| ------------- | ---------- | ------- | --------- |
| George Miller | Finance    | 85000.0 | 1         |
| Hannah Lee    | Finance    | 82000.0 | 2         |
| Ethan Hunt    | HR         | 60000.0 | 1         |
| Fiona Green   | HR         | 58000.0 | 2         |
| Diana Prince  | IT         | 95000.0 | 1         |
| Charlie Brown | IT         | 90000.0 | 2         |
| Alice Johnson | Sales      | 70000.0 | 1         |
| Bob Smith     | Sales      | 65000.0 | 2         |

---
**Query #7**

| employee_name | department | salary  | highest_salary |
| ------------- | ---------- | ------- | -------------- |
| Alice Johnson | Sales      | 70000.0 | 70000.0        |
| Bob Smith     | Sales      | 65000.0 | 70000.0        |
| Charlie Brown | IT         | 90000.0 | 95000.0        |
| Diana Prince  | IT         | 95000.0 | 95000.0        |
| Ethan Hunt    | HR         | 60000.0 | 60000.0        |
| Fiona Green   | HR         | 58000.0 | 60000.0        |
| George Miller | Finance    | 85000.0 | 85000.0        |
| Hannah Lee    | Finance    | 82000.0 | 85000.0        |

---
**Query #8**

There are no results to be displayed.

---
**Query #9**

| order_id | order_date | total_amount | running_total |
| -------- | ---------- | ------------ | ------------- |
| 101      | 2024-01-10 | 500.0        | 500.0         |
| 102      | 2024-01-11 | 700.0        | 1200.0        |
| 103      | 2024-01-15 | 1200.0       | 2400.0        |
| 104      | 2024-01-18 | 300.0        | 2700.0        |
| 105      | 2024-01-20 | 900.0        | 3600.0        |
| 106      | 2024-01-25 | 1500.0       | 5100.0        |
| 107      | 2024-02-01 | 650.0        | 5750.0        |
| 108      | 2024-02-05 | 1100.0       | 6850.0        |
| 109      | 2024-02-10 | 400.0        | 7250.0        |
| 110      | 2024-02-15 | 950.0        | 8200.0        |
| 111      | 2024-02-20 | 2000.0       | 10200.0       |
| 112      | 2024-02-25 | 750.0        | 10950.0       |

---
**Query #10**

| employee_id | order_id | total_amount | cumulative_sales |
| ----------- | -------- | ------------ | ---------------- |
| 1           | 101      | 500.0        | 500.0            |
| 1           | 103      | 1200.0       | 1700.0           |
| 1           | 107      | 650.0        | 2350.0           |
| 1           | 111      | 2000.0       | 4350.0           |
| 2           | 102      | 700.0        | 700.0            |
| 2           | 106      | 1500.0       | 2200.0           |
| 2           | 110      | 950.0        | 3150.0           |
| 3           | 104      | 300.0        | 300.0            |
| 3           | 108      | 1100.0       | 1400.0           |
| 4           | 105      | 900.0        | 900.0            |
| 4           | 109      | 400.0        | 1300.0           |
| 4           | 112      | 750.0        | 2050.0           |

---
**Query #11**

| customer_id | order_id | total_amount | previous_order |
| ----------- | -------- | ------------ | -------------- |
| 1           | 101      | 500.0        |                |
| 2           | 102      | 700.0        |                |
| 1           | 103      | 1200.0       | 500.0          |
| 3           | 104      | 300.0        |                |
| 4           | 105      | 900.0        |                |
| 5           | 106      | 1500.0       |                |
| 2           | 107      | 650.0        | 700.0          |
| 1           | 108      | 1100.0       | 1200.0         |
| 3           | 109      | 400.0        | 300.0          |
| 4           | 110      | 950.0        | 900.0          |
| 5           | 111      | 2000.0       | 1500.0         |
| 1           | 112      | 750.0        | 1100.0         |

---
**Query #12**

| customer_id | order_id | total_amount | next_order |
| ----------- | -------- | ------------ | ---------- |
| 1           | 101      | 500.0        | 1200.0     |
| 2           | 102      | 700.0        | 650.0      |
| 1           | 103      | 1200.0       | 1100.0     |
| 3           | 104      | 300.0        | 400.0      |
| 4           | 105      | 900.0        | 950.0      |
| 5           | 106      | 1500.0       | 2000.0     |
| 2           | 107      | 650.0        |            |
| 1           | 108      | 1100.0       | 750.0      |
| 3           | 109      | 400.0        |            |
| 4           | 110      | 950.0        |            |
| 5           | 111      | 2000.0       |            |
| 1           | 112      | 750.0        |            |

---
**Query #13**

| customer_id | order_id | total_amount | difference_amount |
| ----------- | -------- | ------------ | ----------------- |
| 1           | 101      | 500.0        | 500.0             |
| 2           | 102      | 700.0        | 700.0             |
| 1           | 103      | 1200.0       | 700.0             |
| 3           | 104      | 300.0        | 300.0             |
| 4           | 105      | 900.0        | 900.0             |
| 5           | 106      | 1500.0       | 1500.0            |
| 2           | 107      | 650.0        | -50.0             |
| 1           | 108      | 1100.0       | -100.0            |
| 3           | 109      | 400.0        | 100.0             |
| 4           | 110      | 950.0        | 50.0              |
| 5           | 111      | 2000.0       | 500.0             |
| 1           | 112      | 750.0        | -350.0            |

---
**Query #14**

| order_id | total_amount | moving_average |
| -------- | ------------ | -------------- |
| 101      | 500.0        | 500.0          |
| 102      | 700.0        | 600.0          |
| 103      | 1200.0       | 800.0          |
| 104      | 300.0        | 733.333333     |
| 105      | 900.0        | 800.0          |
| 106      | 1500.0       | 900.0          |
| 107      | 650.0        | 1016.666667    |
| 108      | 1100.0       | 1083.333333    |
| 109      | 400.0        | 716.666667     |
| 110      | 950.0        | 816.666667     |
| 111      | 2000.0       | 1116.666667    |
| 112      | 750.0        | 1233.333333    |

---
**Query #15**
 
There are no results to be displayed.

---
**Query #16**

There are no results to be displayed.

---
**Query #17**

| employee_name | salary  | quartile |
| ------------- | ------- | -------- |
| Diana Prince  | 95000.0 | 1        |
| Charlie Brown | 90000.0 | 1        |
| George Miller | 85000.0 | 2        |
| Hannah Lee    | 82000.0 | 2        |
| Alice Johnson | 70000.0 | 3        |
| Bob Smith     | 65000.0 | 3        |
| Ethan Hunt    | 60000.0 | 4        |
| Fiona Green   | 58000.0 | 4        |

---
**Query #18**

| order_id | customer_id | employee_id | order_date | total_amount |
| -------- | ----------- | ----------- | ---------- | ------------ |
| 101      | 1           | 1           | 2024-01-10 | 500.0        |
| 102      | 2           | 2           | 2024-01-11 | 700.0        |
| 104      | 3           | 3           | 2024-01-18 | 300.0        |
| 105      | 4           | 4           | 2024-01-20 | 900.0        |
| 106      | 5           | 2           | 2024-01-25 | 1500.0       |

---
**Query #19**

| order_id | customer_id | employee_id | order_date | total_amount |
| -------- | ----------- | ----------- | ---------- | ------------ |
| 107      | 2           | 1           | 2024-02-01 | 650.0        |
| 109      | 3           | 4           | 2024-02-10 | 400.0        |
| 110      | 4           | 2           | 2024-02-15 | 950.0        |
| 111      | 5           | 1           | 2024-02-20 | 2000.0       |
| 112      | 1           | 4           | 2024-02-25 | 750.0        |

---
**Query #20**

| employee_name | department | salary  | dept_avg_salary |
| ------------- | ---------- | ------- | --------------- |
| Alice Johnson | Sales      | 70000.0 | 67500.0         |
| Bob Smith     | Sales      | 65000.0 | 67500.0         |
| Charlie Brown | IT         | 90000.0 | 92500.0         |
| Diana Prince  | IT         | 95000.0 | 92500.0         |
| Ethan Hunt    | HR         | 60000.0 | 59000.0         |
| Fiona Green   | HR         | 58000.0 | 59000.0         |
| George Miller | Finance    | 85000.0 | 83500.0         |
| Hannah Lee    | Finance    | 82000.0 | 83500.0         |

---
**Query #21**

| employee_name | department | salary  |
| ------------- | ---------- | ------- |
| Alice Johnson | Sales      | 70000.0 |
| Diana Prince  | IT         | 95000.0 |
| Ethan Hunt    | HR         | 60000.0 |
| George Miller | Finance    | 85000.0 |

---
**Query #22**

| employee_name | department | salary  | department_payroll |
| ------------- | ---------- | ------- | ------------------ |
| Alice Johnson | Sales      | 70000.0 | 135000.0           |
| Bob Smith     | Sales      | 65000.0 | 135000.0           |
| Charlie Brown | IT         | 90000.0 | 185000.0           |
| Diana Prince  | IT         | 95000.0 | 185000.0           |
| Ethan Hunt    | HR         | 60000.0 | 118000.0           |
| Fiona Green   | HR         | 58000.0 | 118000.0           |
| George Miller | Finance    | 85000.0 | 167000.0           |
| Hannah Lee    | Finance    | 82000.0 | 167000.0           |

---
**Query #23**

| employee_name | department | salary  | percentage_contribution |
| ------------- | ---------- | ------- | ----------------------- |
| Alice Johnson | Sales      | 70000.0 | 51.85                   |
