**Query #1**

| mixed_value | REGEXP_SUBSTR(mixed_value, '^[0-9]+') |
| ----------- | ------------------------------------- |
| abc123xyz   |                                       |
| test45done  |                                       |
| run9fast    |                                       |
| go88home    |                                       |
| data77lake  |                                       |
| spark12sql  |                                       |
| etl999job   |                                       |
| cloud7aws   |                                       |
| hdfs34node  |                                       |
| map5reduce  |                                       |
| abc1        |                                       |
| x9          |                                       |
| z88         |                                       |
| q777        |                                       |
| karthik99   |                                       |
| etl1        |                                       |
| etl22       |                                       |
| etl333      |                                       |
| etl4444     |                                       |
| etl55555    |                                       |
| a1b2        |                                       |
| x2y         |                                       |
| m33n        |                                       |
| k444        |                                       |
| job5        |                                       |
| log99       |                                       |
| log8        |                                       |
| log777      |                                       |
| log6666     |                                       |
| log55555    |                                       |
| aa1         |                                       |
| bb22        |                                       |
| cc333       |                                       |
| dd4444      |                                       |
| ee55555     |                                       |
| t1          |                                       |
| t22         |                                       |
| t333        |                                       |
| t4444       |                                       |
| t55555      |                                       |

---
**Query #2**

| mixed_value | REGEXP_SUBSTR(mixed_value, '[0-9]+$') |
| ----------- | ------------------------------------- |
| abc123xyz   |                                       |
| test45done  |                                       |
| run9fast    |                                       |
| go88home    |                                       |
| data77lake  |                                       |
| spark12sql  |                                       |
| etl999job   |                                       |
| cloud7aws   |                                       |
| hdfs34node  |                                       |
| map5reduce  |                                       |
| abc1        | 1                                     |
| x9          | 9                                     |
| z88         | 88                                    |
| q777        | 777                                   |
| karthik99   | 99                                    |
| etl1        | 1                                     |
| etl22       | 22                                    |
| etl333      | 333                                   |
| etl4444     | 4444                                  |
| etl55555    | 55555                                 |
| a1b2        | 2                                     |
| x2y         |                                       |
| m33n        |                                       |
| k444        | 444                                   |
| job5        | 5                                     |
| log99       | 99                                    |
| log8        | 8                                     |
| log777      | 777                                   |
| log6666     | 6666                                  |
| log55555    | 55555                                 |
| aa1         | 1                                     |
| bb22        | 22                                    |
| cc333       | 333                                   |
| dd4444      | 4444                                  |
| ee55555     | 55555                                 |
| t1          | 1                                     |
| t22         | 22                                    |
| t333        | 333                                   |
| t4444       | 4444                                  |
| t55555      | 55555                                 |

---
**Query #3**

| mixed_value | REGEXP_SUBSTR(mixed_value, '^.') |
| ----------- | -------------------------------- |
| abc123xyz   | a                                |
| test45done  | t                                |
| run9fast    | r                                |
| go88home    | g                                |
| data77lake  | d                                |
| spark12sql  | s                                |
| etl999job   | e                                |
| cloud7aws   | c                                |
| hdfs34node  | h                                |
| map5reduce  | m                                |
| abc1        | a                                |
| x9          | x                                |
| z88         | z                                |
| q777        | q                                |
| karthik99   | k                                |
| etl1        | e                                |
| etl22       | e                                |
| etl333      | e                                |
| etl4444     | e                                |
| etl55555    | e                                |
| a1b2        | a                                |
| x2y         | x                                |
| m33n        | m                                |
| k444        | k                                |
| job5        | j                                |
| log99       | l                                |
| log8        | l                                |
| log777      | l                                |
| log6666     | l                                |
| log55555    | l                                |
| aa1         | a                                |
| bb22        | b                                |
| cc333       | c                                |
| dd4444      | d                                |
| ee55555     | e                                |
| t1          | t                                |
| t22         | t                                |
| t333        | t                                |
| t4444       | t                                |
| t55555      | t                                |

---
**Query #4**

| mixed_value | REGEXP_SUBSTR(mixed_value, '.$') |
| ----------- | -------------------------------- |
| abc123xyz   | z                                |
| test45done  | e                                |
| run9fast    | t                                |
| go88home    | e                                |
| data77lake  | e                                |
| spark12sql  | l                                |
| etl999job   | b                                |
| cloud7aws   | s                                |
| hdfs34node  | e                                |
| map5reduce  | e                                |
| abc1        | 1                                |
| x9          | 9                                |
| z88         | 8                                |
| q777        | 7                                |
| karthik99   | 9                                |
| etl1        | 1                                |
| etl22       | 2                                |
| etl333      | 3                                |
| etl4444     | 4                                |
| etl55555    | 5                                |
| a1b2        | 2                                |
| x2y         | y                                |
| m33n        | n                                |
| k444        | 4                                |
| job5        | 5                                |
| log99       | 9                                |
| log8        | 8                                |
| log777      | 7                                |
| log6666     | 6                                |
| log55555    | 5                                |
| aa1         | 1                                |
| bb22        | 2                                |
| cc333       | 3                                |
| dd4444      | 4                                |
| ee55555     | 5                                |
| t1          | 1                                |
| t22         | 2                                |
| t333        | 3                                |
| t4444       | 4                                |
| t55555      | 5                                |

---
**Query #5**

| mixed_value | REGEXP_SUBSTR(mixed_value, '[0-9]{2}') |
| ----------- | -------------------------------------- |
| abc123xyz   | 12                                     |
| test45done  | 45                                     |
| run9fast    |                                        |
| go88home    | 88                                     |
| data77lake  | 77                                     |
| spark12sql  | 12                                     |
| etl999job   | 99                                     |
| cloud7aws   |                                        |
| hdfs34node  | 34                                     |
| map5reduce  |                                        |
| abc1        |                                        |
| x9          |                                        |
| z88         | 88                                     |
| q777        | 77                                     |
| karthik99   | 99                                     |
| etl1        |                                        |
| etl22       | 22                                     |
| etl333      | 33                                     |
| etl4444     | 44                                     |
| etl55555    | 55                                     |
| a1b2        |                                        |
| x2y         |                                        |
| m33n        | 33                                     |
| k444        | 44                                     |
| job5        |                                        |
| log99       | 99                                     |
| log8        |                                        |
| log777      | 77                                     |
| log6666     | 66                                     |
| log55555    | 55                                     |
| aa1         |                                        |
| bb22        | 22                                     |
| cc333       | 33                                     |
| dd4444      | 44                                     |
| ee55555     | 55                                     |
| t1          |                                        |
| t22         | 22                                     |
| t333        | 33                                     |
| t4444       | 44                                     |
| t55555      | 55                                     |

---
**Query #6**

| mixed_value | REGEXP_SUBSTR(mixed_value, '[0-9]') |
| ----------- | ----------------------------------- |
| abc123xyz   | 1                                   |
| test45done  | 4                                   |
| run9fast    | 9                                   |
| go88home    | 8                                   |
| data77lake  | 7                                   |
| spark12sql  | 1                                   |
| etl999job   | 9                                   |
| cloud7aws   | 7                                   |
| hdfs34node  | 3                                   |
| map5reduce  | 5                                   |
| abc1        | 1                                   |
| x9          | 9                                   |
| z88         | 8                                   |
| q777        | 7                                   |
| karthik99   | 9                                   |
| etl1        | 1                                   |
| etl22       | 2                                   |
| etl333      | 3                                   |
| etl4444     | 4                                   |
| etl55555    | 5                                   |
| a1b2        | 1                                   |
| x2y         | 2                                   |
| m33n        | 3                                   |
| k444        | 4                                   |
| job5        | 5                                   |
| log99       | 9                                   |
| log8        | 8                                   |
| log777      | 7                                   |
| log6666     | 6                                   |
| log55555    | 5                                   |
| aa1         | 1                                   |
| bb22        | 2                                   |
| cc333       | 3                                   |
| dd4444      | 4                                   |
| ee55555     | 5                                   |
| t1          | 1                                   |
| t22         | 2                                   |
| t333        | 3                                   |
| t4444       | 4                                   |
| t55555      | 5                                   |

---
**Query #7**

| phone          | REGEXP_SUBSTR(phone, '[0-9]+') |
| -------------- | ------------------------------ |
| +91-9876543210 | 91                             |
| +1-7654321098  | 1                              |
| +44-9988776655 | 44                             |
| +61-8899776655 | 61                             |
| +91-7788996655 | 91                             |
| +1-9090909090  | 1                              |
| +44-7878787878 | 44                             |
| +61-6665554443 | 61                             |
| +91-9988776655 | 91                             |
| +1-6767676767  | 1                              |
| 91-8899001122  | 91                             |
| 01-9988776655  | 01                             |
| 44-6677889900  | 44                             |
| 61-4455667788  | 61                             |
| 91-9988001122  | 91                             |
| +91-8877665544 | 91                             |
| +1-2233445566  | 1                              |
| +44-3344556677 | 44                             |
| +61-5566778899 | 61                             |
| +91-6677889900 | 91                             |
| 91-9998887776  | 91                             |
| 01-1112223334  | 01                             |
| 44-5556667778  | 44                             |
